
########## PHASE 2: ZSTD_CCtx_params object API ##########
createCCtxParams                                         nonnull=1
freeCCtxParams(fresh)                                    OK 0
freeCCtxParams(NULL)                                     OK 0
CCtxParams_reset(NULL)                                   ERR(1) Error (generic)
CCtxParams_init                                          OK 0
init(L3).compressionLevel                                3
init(L3).windowLog                                       0
init(L3).hashLog                                         0
init(L3).chainLog                                        0
init(L3).searchLog                                       0
init(L3).minMatch                                        0
init(L3).targetLength                                    0
init(L3).strategy                                        0
init(L3).targetCBlockSize                                0
init(L3).enableLongDistanceMatching                      0
init(L3).ldmHashLog                                      0
init(L3).ldmMinMatch                                     0
init(L3).ldmBucketSizeLog                                0
init(L3).ldmHashRateLog                                  0
init(L3).contentSizeFlag                                 1
init(L3).checksumFlag                                    0
init(L3).dictIDFlag                                      1
init(L3).nbWorkers                                       0
init(L3).jobSize                                         ERR Unsupported parameter
init(L3).overlapLog                                      ERR Unsupported parameter
init(L3).rsyncable                                       ERR Unsupported parameter
init(L3).format                                          0
init(L3).forceMaxWindow                                  0
init(L3).forceAttachDict                                 0
init(L3).literalCompressionMode                          0
init(L3).srcSizeHint                                     0
init(L3).enableDedicatedDictSearch                       0
init(L3).stableInBuffer                                  0
init(L3).stableOutBuffer                                 0
init(L3).blockDelimiters                                 0
init(L3).validateSequences                               0
init(L3).blockSplitterLevel                              0
init(L3).splitAfterSequences                             0
init(L3).useRowMatchFinder                               0
init(L3).deterministicRefPrefix                          0
init(L3).prefetchCDictTables                             0
init(L3).enableSeqProducerFallback                       0
init(L3).maxBlockSize                                    0
init(L3).repcodeResolution                               0
init(L3).searchForExternalRepcodes                       0
  estCCtxSize_usingCCtxParams                            OK 1303576
  estCStreamSize_usingCCtxParams                         OK 3663385
CCtxParams_init_advanced                                 OK 0
initAdv(L3).compressionLevel                             0
initAdv(L3).windowLog                                    17
initAdv(L3).hashLog                                      16
initAdv(L3).chainLog                                     15
initAdv(L3).searchLog                                    2
initAdv(L3).minMatch                                     5
initAdv(L3).targetLength                                 0
initAdv(L3).strategy                                     2
initAdv(L3).targetCBlockSize                             0
initAdv(L3).enableLongDistanceMatching                   2
initAdv(L3).ldmHashLog                                   0
initAdv(L3).ldmMinMatch                                  0
initAdv(L3).ldmBucketSizeLog                             0
initAdv(L3).ldmHashRateLog                               0
initAdv(L3).contentSizeFlag                              1
initAdv(L3).checksumFlag                                 0
initAdv(L3).dictIDFlag                                   1
initAdv(L3).nbWorkers                                    0
initAdv(L3).jobSize                                      ERR Unsupported parameter
initAdv(L3).overlapLog                                   ERR Unsupported parameter
initAdv(L3).rsyncable                                    ERR Unsupported parameter
initAdv(L3).format                                       0
initAdv(L3).forceMaxWindow                               0
initAdv(L3).forceAttachDict                              0
initAdv(L3).literalCompressionMode                       0
initAdv(L3).srcSizeHint                                  0
initAdv(L3).enableDedicatedDictSearch                    0
initAdv(L3).stableInBuffer                               0
initAdv(L3).stableOutBuffer                              0
initAdv(L3).blockDelimiters                              0
initAdv(L3).validateSequences                            0
initAdv(L3).blockSplitterLevel                           0
initAdv(L3).splitAfterSequences                          2
initAdv(L3).useRowMatchFinder                            2
initAdv(L3).deterministicRefPrefix                       0
initAdv(L3).prefetchCDictTables                          0
initAdv(L3).enableSeqProducerFallback                    0
initAdv(L3).maxBlockSize                                 131072
initAdv(L3).repcodeResolution                            2
initAdv(L3).searchForExternalRepcodes                    2
CCtxParams_reset                                         OK 0
reset(L3).compressionLevel                               3
reset(L3).windowLog                                      0
reset(L3).hashLog                                        0
reset(L3).chainLog                                       0
reset(L3).searchLog                                      0
reset(L3).minMatch                                       0
reset(L3).targetLength                                   0
reset(L3).strategy                                       0
reset(L3).targetCBlockSize                               0
reset(L3).enableLongDistanceMatching                     0
reset(L3).ldmHashLog                                     0
reset(L3).ldmMinMatch                                    0
reset(L3).ldmBucketSizeLog                               0
reset(L3).ldmHashRateLog                                 0
reset(L3).contentSizeFlag                                1
reset(L3).checksumFlag                                   0
reset(L3).dictIDFlag                                     1
reset(L3).nbWorkers                                      0
reset(L3).jobSize                                        ERR Unsupported parameter
reset(L3).overlapLog                                     ERR Unsupported parameter
reset(L3).rsyncable                                      ERR Unsupported parameter
reset(L3).format                                         0
reset(L3).forceMaxWindow                                 0
reset(L3).forceAttachDict                                0
reset(L3).literalCompressionMode                         0
reset(L3).srcSizeHint                                    0
reset(L3).enableDedicatedDictSearch                      0
reset(L3).stableInBuffer                                 0
reset(L3).stableOutBuffer                                0
reset(L3).blockDelimiters                                0
