== ZSTD_decodeSeqHeaders ==
warmup compress=28225 decompress=40000 match=1
ZSTD_decodeSeqHeaders t=0 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=2 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=0 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=2 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=1 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=2 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=2 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=2 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=3 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=2 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=4 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=2 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=5 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=2 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=6 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=2 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=7 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=2 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=8 n=1000 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=0 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=1 =-72 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=2 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=3 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=4 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=5 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=7 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=10 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=20 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=50 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=120 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=300 =-20 nbSeq=-12345
ZSTD_decodeSeqHeaders t=9 n=1000 =-20 nbSeq=-12345
