version_string                             1.0.23
version_major                              30
version_minor                              0
library_minimal                            0
runtime_sse2                               0
runtime_aesni                              0
runtime_neon                               0
runtime_avx2                               0
verify16_eq                                0
verify16_ne                                -1
verify32_eq                                0
verify64_eq                                0
verify16_bytes                             16
verify32_bytes                             32
verify64_bytes                             64
memcmp                                     0
compare                                    0
compare_lt                                 -1
is_zero                                    0
is_zero_yes                                1
increment                                  02080f161d242b323940474e555c636a
add                                        04101e2c3a48566472808e9caab8c6d4
sub                                        02080f161d242b323940474e555c636a
pad_len                                    32
pad                                        090e13181d22272c31363b40454a4f54595e6368800000000000000000000000
unpad_len                                  20
bin2hex                                    05080b0e1114171a1d202326292c2f3235383b3e4144474a4d505356595c5f6265686b6e7174777a7d808386898c8f9295989b9ea1a4a7aaadb0b3b6b9bcbfc2
hex2bin_len                                64
hex2bin                                    05080b0e1114171a1d202326292c2f3235383b3e4144474a4d505356595c5f6265686b6e7174777a7d808386898c8f9295989b9ea1a4a7aaadb0b3b6b9bcbfc2
hex2bin_bad                                -1
b64_encoded_len                            53
bin2base64[1]                              BQgLDhEUFxodICMmKSwvMjU4Oz5BREdKTVBTVllcX2JlaGtucQ==
base642bin[1]                              05080b0e1114171a1d202326292c2f3235383b3e4144474a4d505356595c5f6265686b6e71
b64_encoded_len                            51
bin2base64[3]                              BQgLDhEUFxodICMmKSwvMjU4Oz5BREdKTVBTVllcX2JlaGtucQ
base642bin[3]                              05080b0e1114171a1d202326292c2f3235383b3e4144474a4d505356595c5f6265686b6e71
b64_encoded_len                            53
bin2base64[5]                              BQgLDhEUFxodICMmKSwvMjU4Oz5BREdKTVBTVllcX2JlaGtucQ==
base642bin[5]                              05080b0e1114171a1d202326292c2f3235383b3e4144474a4d505356595c5f6265686b6e71
b64_encoded_len                            51
bin2base64[7]                              BQgLDhEUFxodICMmKSwvMjU4Oz5BREdKTVBTVllcX2JlaGtucQ
base642bin[7]                              05080b0e1114171a1d202326292c2f3235383b3e4144474a4d505356595c5f6265686b6e71
ip2bin[127.0.0.1]                          00000000000000000000ffff7f000001
bin2ip[127.0.0.1]                          127.0.0.1
ip2bin[1.2.3.4]                            00000000000000000000ffff01020304
bin2ip[1.2.3.4]                            1.2.3.4
ip2bin[::1]                                00000000000000000000000000000001
