60 | same, row finder enabled | missing=[]
129 | same | missing=[]
130 | same | missing=[]
131 | same | missing=[]
209 | `ZSTD_compressStream2(ZSTD_e_continue)` | missing=[]
210 | `ZSTD_compressStream2(ZSTD_e_flush)` | missing=[]
211 | `ZSTD_compressStream2(ZSTD_e_flush)` | missing=[]
212 | `ZSTD_compressStream2(ZSTD_e_end)` | missing=[]
213 | `ZSTD_compressStream2(ZSTD_e_end)` | missing=[]
214 | `ZSTD_compressStream2(ZSTD_e_end)` | missing=[]
231 | `ZSTD_CCtx_reset(ZSTD_reset_session_only)` | missing=[]
232 | `ZSTD_CCtx_reset(ZSTD_reset_parameters)` | missing=[]
233 | `ZSTD_CCtx_reset(ZSTD_reset_session_and_parameters)` | missing=[]
299 | `ZSTD_loadCEntropy` (via CDict of a real dict) | missing=['ZSTD_loadCEntropy']
301 | `ZSTD_referenceExternalSequences` | missing=['ZSTD_referenceExternalSequences']
356 | same | missing=[]
357 | same | missing=[]
363 | `ZSTD_DCtx_reset(ZSTD_reset_session_only)` | missing=[]
364 | `ZSTD_DCtx_reset(ZSTD_reset_parameters)` | missing=[]
365 | `ZSTD_DCtx_reset(ZSTD_reset_session_and_parameters)` | missing=[]
430 | `ZSTD_decompress*` | missing=[]
431 | `ZSTD_decompress*` | missing=[]
432 | `ZSTD_decompress*` | missing=[]
433 | `ZSTD_decompress*` | missing=[]
434 | literals `set_basic` | missing=[]
435 | literals `set_basic` | missing=[]
436 | literals `set_basic` | missing=[]
437 | literals `set_basic` | missing=[]
438 | literals `set_basic` | missing=[]
439 | literals `set_basic` | missing=[]
440 | literals `set_rle` | missing=[]
441 | literals `set_compressed` | missing=[]
442 | literals `set_compressed` | missing=[]
443 | literals `set_compressed` | missing=[]
444 | literals `set_compressed` | missing=[]
445 | literals `set_compressed` | missing=[]
446 | literals `set_repeat` | missing=[]
447 | literals | missing=[]
448 | literals | missing=[]
449 | literals | missing=[]
450 | literals | missing=[]
451 | sequences header | missing=[]
452 | sequences header | missing=[]
453 | sequences header | missing=[]
454 | sequences header | missing=[]
455 | LL/OF/ML symbol modes | missing=[]
456 | LL/OF/ML symbol modes | missing=[]
457 | LL/OF/ML symbol modes | missing=[]
458 | LL/OF/ML symbol modes | missing=[]
459 | LL/OF/ML symbol modes | missing=[]
460 | LL/OF/ML symbol modes | missing=[]
461 | `ZSTD_buildFSETable` | missing=['ZSTD_buildFSETable']
462 | `ZSTD_buildFSETable` | missing=['ZSTD_buildFSETable']
463 | sequence decode | missing=[]
464 | sequence decode | missing=[]
465 | sequence decode | missing=[]
466 | sequence decode | missing=[]
467 | sequence decode | missing=[]
468 | sequence decode | missing=[]
469 | sequence decode | missing=[]
470 | sequence decode | missing=[]
471 | sequence decode | missing=[]
472 | sequence decode | missing=[]
473 | sequence decode | missing=[]
474 | decoder selection | missing=[]
475 | decoder selection | missing=[]
476 | decoder selection | missing=[]
477 | decoder selection | missing=[]
478 | long offsets | missing=[]
479 | long offsets | missing=[]
480 | `ZSTD_decompressBlock_internal` | missing=['ZSTD_decompressBlock_internal']
481 | `ZSTD_decompressBlock_internal` | missing=['ZSTD_decompressBlock_internal']
482 | repcodes | missing=[]
483 | repcodes | missing=[]
484 | `ZSTD_loadDEntropy` | missing=['ZSTD_loadDEntropy']
563 | `BIT_initDStream` (via any FSE/HUF decode) | missing=[]
564 | `BIT_initDStream` | missing=[]
565 | `BIT_reloadDStream` | missing=[]
566 | `BIT_getLowerBits` / `BIT_getMiddleBits` | missing=[]
596 | `HUF_compress*_repeat` | missing=[]
597 | `HUF_compress*_repeat` | missing=[]
598 | `HUF_compress*_repeat` | missing=[]
599 | `HUF_compress*_repeat` | missing=[]
600 | `HUF_compress*_repeat` | missing=[]
601 | `HUF_compress*_repeat` | missing=[]
602 | `HUF_compress*_repeat` | missing=[]
603 | `HUF_compress*_repeat` | missing=[]
604 | `HUF_compress*_repeat` | missing=[]
605 | `HUF_compress*_repeat` | missing=[]
606 | `HUF_compress*_repeat` | missing=[]
607 | `HUF_compress*_repeat` | missing=[]
608 | `HUF_compress*_repeat` | missing=[]
609 | `HUF_compress*_repeat` | missing=[]
610 | `HUF_compress*_repeat` | missing=[]
634 | `HUF_decompress4X*` | missing=[]
635 | `HUF_decompress4X*` | missing=[]
636 | `HUF_decompress4X*` | missing=[]
637 | `HUF_decompress4X*` | missing=[]
638 | `HUF_decompress4X*` | missing=[]
639 | `HUF_decompress4X*` | missing=[]
640 | `HUF_decompress4X*` | missing=[]
641 | `HUF_decompress4X*` | missing=[]
642 | `HUF_decompress4X*` | missing=[]
643 | `HUF_decodeStreamX1` | missing=[]
644 | `HUF_decodeStreamX2` | missing=[]
645 | `HUF_decodeStreamX2` | missing=[]
646 | `HUF_decodeLastSymbolX2` | missing=[]
788 | `ZSTD_isLegacy` | missing=[]
812 | `ZSTDv06_frameHeaderSize` (via `getFrameParams`) | missing=[]
815 | `ZSTDv06_compressBound` | missing=[]
844 | `ZSTDv02_*` | missing=[]
845 | `ZSTDv03_*` | missing=[]
846 | `ZSTDv04_*` | missing=[]
848 | `ZSTD_getDecompressedSize_legacy` | missing=[]
849 | `ZSTD_freeLegacyStreamContext` | missing=[]
