
########## PHASE 0: cParam/dParam bounds ##########
cBounds[compressionLevel=100]                            err=0 lo=-131072 hi=22
cBounds[windowLog=101]                                   err=0 lo=10 hi=31
cBounds[hashLog=102]                                     err=0 lo=6 hi=30
cBounds[chainLog=103]                                    err=0 lo=6 hi=30
cBounds[searchLog=104]                                   err=0 lo=1 hi=30
cBounds[minMatch=105]                                    err=0 lo=3 hi=7
cBounds[targetLength=106]                                err=0 lo=0 hi=131072
cBounds[strategy=107]                                    err=0 lo=1 hi=9
cBounds[targetCBlockSize=130]                            err=0 lo=1340 hi=131072
cBounds[enableLongDistanceMatching=160]                  err=0 lo=0 hi=2
cBounds[ldmHashLog=161]                                  err=0 lo=6 hi=30
cBounds[ldmMinMatch=162]                                 err=0 lo=4 hi=4096
cBounds[ldmBucketSizeLog=163]                            err=0 lo=1 hi=8
cBounds[ldmHashRateLog=164]                              err=0 lo=0 hi=25
cBounds[contentSizeFlag=200]                             err=0 lo=0 hi=1
cBounds[checksumFlag=201]                                err=0 lo=0 hi=1
cBounds[dictIDFlag=202]                                  err=0 lo=0 hi=1
cBounds[nbWorkers=400]                                   err=0 lo=0 hi=0
cBounds[jobSize=401]                                     err=0 lo=0 hi=0
cBounds[overlapLog=402]                                  err=0 lo=0 hi=0
cBounds[rsyncable=500]                                   err=0 lo=0 hi=1
cBounds[format=10]                                       err=0 lo=0 hi=1
cBounds[forceMaxWindow=1000]                             err=0 lo=0 hi=1
cBounds[forceAttachDict=1001]                            err=0 lo=0 hi=3
cBounds[literalCompressionMode=1002]                     err=0 lo=0 hi=2
cBounds[srcSizeHint=1004]                                err=0 lo=0 hi=2147483647
cBounds[enableDedicatedDictSearch=1005]                  err=0 lo=0 hi=1
cBounds[stableInBuffer=1006]                             err=0 lo=0 hi=1
cBounds[stableOutBuffer=1007]                            err=0 lo=0 hi=1
cBounds[blockDelimiters=1008]                            err=0 lo=0 hi=1
cBounds[validateSequences=1009]                          err=0 lo=0 hi=1
cBounds[blockSplitterLevel=1017]                         err=0 lo=0 hi=6
cBounds[splitAfterSequences=1010]                        err=0 lo=0 hi=2
cBounds[useRowMatchFinder=1011]                          err=0 lo=0 hi=2
cBounds[deterministicRefPrefix=1012]                     err=0 lo=0 hi=1
cBounds[prefetchCDictTables=1013]                        err=0 lo=0 hi=2
cBounds[enableSeqProducerFallback=1014]                  err=0 lo=0 hi=1
cBounds[maxBlockSize=1015]                               err=0 lo=1024 hi=131072
cBounds[repcodeResolution=1016]                          err=0 lo=0 hi=2
cBounds[searchForExternalRepcodes=1016]                  err=0 lo=0 hi=2
dBounds[windowLogMax=100]                                err=0 lo=10 hi=31
dBounds[format=1000]                                     err=0 lo=0 hi=1
dBounds[stableOutBuffer=1001]                            err=0 lo=0 hi=1
dBounds[forceIgnoreChecksum=1002]                        err=0 lo=0 hi=1
dBounds[refMultipleDDicts=1003]                          err=0 lo=0 hi=1
dBounds[disableHuffmanAssembly=1004]                     err=0 lo=0 hi=1
dBounds[maxBlockSize=1005]                               err=0 lo=1024 hi=131072
cBounds[bogus -1]                                        err=1 code=40 lo=0 hi=0
dBounds[bogus -1]                                        err=1 code=40 lo=0 hi=0
cBounds[bogus 0]                                         err=1 code=40 lo=0 hi=0
dBounds[bogus 0]                                         err=1 code=40 lo=0 hi=0
cBounds[bogus 1]                                         err=1 code=40 lo=0 hi=0
dBounds[bogus 1]                                         err=1 code=40 lo=0 hi=0
cBounds[bogus 99]                                        err=1 code=40 lo=0 hi=0
dBounds[bogus 99]                                        err=1 code=40 lo=0 hi=0
cBounds[bogus 108]                                       err=1 code=40 lo=0 hi=0
dBounds[bogus 108]                                       err=1 code=40 lo=0 hi=0
cBounds[bogus 203]                                       err=1 code=40 lo=0 hi=0
dBounds[bogus 203]                                       err=1 code=40 lo=0 hi=0
cBounds[bogus 403]                                       err=1 code=40 lo=0 hi=0
dBounds[bogus 403]                                       err=1 code=40 lo=0 hi=0
cBounds[bogus 501]                                       err=1 code=40 lo=0 hi=0
dBounds[bogus 501]                                       err=1 code=40 lo=0 hi=0
cBounds[bogus 1018]                                      err=1 code=40 lo=0 hi=0
dBounds[bogus 1018]                                      err=1 code=40 lo=0 hi=0
cBounds[bogus 1099]                                      err=1 code=40 lo=0 hi=0
dBounds[bogus 1099]                                      err=1 code=40 lo=0 hi=0
cBounds[bogus 100000]                                    err=1 code=40 lo=0 hi=0
dBounds[bogus 100000]                                    err=1 code=40 lo=0 hi=0
cBounds[bogus -2147483648]                               err=1 code=40 lo=0 hi=0
dBounds[bogus -2147483648]                               err=1 code=40 lo=0 hi=0
cBounds[bogus 2147483647]                                err=1 code=40 lo=0 hi=0
dBounds[bogus 2147483647]                                err=1 code=40 lo=0 hi=0
maxCLevel                                                22
minCLevel                                                -131072
defaultCLevel                                            3

########## total observations: 76 ##########
=== done ===
