ok      blake_128f_robust   (92 assertions-groups passed, 9 binaries)
ok      blake_128f_simple   (92 assertions-groups passed, 9 binaries)
ok      blake_128s_robust   (92 assertions-groups passed, 9 binaries)
ok      blake_128s_simple   (92 assertions-groups passed, 9 binaries)
ok      blake_192f_robust   (92 assertions-groups passed, 9 binaries)
ok      blake_192f_simple   (92 assertions-groups passed, 9 binaries)
ok      blake_192s_robust   (92 assertions-groups passed, 9 binaries)
ok      blake_192s_simple   (92 assertions-groups passed, 9 binaries)
ok      blake_256f_robust   (92 assertions-groups passed, 9 binaries)
ok      blake_256f_simple   (92 assertions-groups passed, 9 binaries)
ok      blake_256s_robust   (92 assertions-groups passed, 9 binaries)
ok      blake_256s_simple   (92 assertions-groups passed, 9 binaries)
ok      haraka_128f_robust   (92 assertions-groups passed, 9 binaries)
ok      haraka_128f_simple   (92 assertions-groups passed, 9 binaries)
ok      haraka_128s_robust   (92 assertions-groups passed, 9 binaries)
ok      haraka_128s_simple   (92 assertions-groups passed, 9 binaries)
ok      haraka_192f_robust   (92 assertions-groups passed, 9 binaries)
ok      haraka_192f_simple   (92 assertions-groups passed, 9 binaries)
ok      haraka_192s_robust   (92 assertions-groups passed, 9 binaries)
ok      haraka_192s_simple   (92 assertions-groups passed, 9 binaries)
ok      haraka_256f_robust   (92 assertions-groups passed, 9 binaries)
ok      haraka_256f_simple   (92 assertions-groups passed, 9 binaries)
ok      haraka_256s_robust   (92 assertions-groups passed, 9 binaries)
ok      haraka_256s_simple   (92 assertions-groups passed, 9 binaries)
ok      sha2_128f_robust   (91 assertions-groups passed, 9 binaries)
ok      sha2_128f_simple   (91 assertions-groups passed, 9 binaries)
ok      sha2_128s_robust   (91 assertions-groups passed, 9 binaries)
ok      sha2_128s_simple   (91 assertions-groups passed, 9 binaries)
ok      sha2_192f_robust   (91 assertions-groups passed, 9 binaries)
ok      sha2_192f_simple   (91 assertions-groups passed, 9 binaries)
ok      sha2_192s_robust   (91 assertions-groups passed, 9 binaries)
ok      sha2_192s_simple   (91 assertions-groups passed, 9 binaries)
ok      sha2_256f_robust   (91 assertions-groups passed, 9 binaries)
ok      sha2_256f_simple   (91 assertions-groups passed, 9 binaries)
ok      sha2_256s_robust   (91 assertions-groups passed, 9 binaries)
ok      sha2_256s_simple   (91 assertions-groups passed, 9 binaries)
ok      shake_128f_robust   (91 assertions-groups passed, 9 binaries)
ok      shake_128f_simple   (91 assertions-groups passed, 9 binaries)
ok      shake_128s_robust   (91 assertions-groups passed, 9 binaries)
ok      shake_128s_simple   (91 assertions-groups passed, 9 binaries)
ok      shake_192f_robust   (91 assertions-groups passed, 9 binaries)
ok      shake_192f_simple   (91 assertions-groups passed, 9 binaries)
ok      shake_192s_robust   (91 assertions-groups passed, 9 binaries)
ok      shake_192s_simple   (91 assertions-groups passed, 9 binaries)
ok      shake_256f_robust   (91 assertions-groups passed, 9 binaries)
ok      shake_256f_simple   (91 assertions-groups passed, 9 binaries)
ok      shake_256s_robust   (91 assertions-groups passed, 9 binaries)
ok      shake_256s_simple   (91 assertions-groups passed, 9 binaries)
=== 48/48 configurations OK, 0 failed ===
