name,status,timestamp,duration_s
005_sphincs_PQCgenKAT_sign_blake_128f_simple,fixed,2026-03-18T00:55:35+0000,264
006_sphincs_PQCgenKAT_sign_blake_128f_robust,fix_failed,2026-03-18T00:59:52+0000,257
007_sphincs_PQCgenKAT_sign_blake_128s_simple,fixed,2026-03-18T01:04:17+0000,265
008_sphincs_PQCgenKAT_sign_blake_128s_robust,fix_failed,2026-03-18T01:16:10+0000,713
009_sphincs_PQCgenKAT_sign_blake_192f_simple,fix_failed,2026-03-18T01:20:17+0000,247
010_sphincs_PQCgenKAT_sign_blake_192f_robust,fixed,2026-03-18T01:23:46+0000,209
011_sphincs_PQCgenKAT_sign_blake_192s_simple,fixed,2026-03-18T01:27:51+0000,245
012_sphincs_PQCgenKAT_sign_blake_192s_robust,fixed,2026-03-18T01:34:16+0000,385
013_sphincs_PQCgenKAT_sign_blake_256f_simple,fixed,2026-03-18T01:37:03+0000,167
014_sphincs_PQCgenKAT_sign_blake_256f_robust,fixed,2026-03-18T01:39:45+0000,162
015_sphincs_PQCgenKAT_sign_blake_256s_simple,fixed,2026-03-18T01:43:04+0000,199
016_sphincs_PQCgenKAT_sign_blake_256s_robust,fixed,2026-03-18T01:48:56+0000,352
030_sphincs_PQCgenKAT_sign_shake_128f_robust,fixed,2026-03-18T01:52:13+0000,197
048_sphincs_PQCgenKAT_sign_haraka_192s_robust,fixed,2026-03-18T01:59:47+0000,454
055_blake_128f_s_gen_message_random_lib,fixed,2026-03-18T02:02:24+0000,157
056_blake_128f_s_hash_message_lib,fixed,2026-03-18T02:05:07+0000,163
057_blake_128f_r_initialize_hash_function_lib,fix_failed,2026-03-18T02:07:32+0000,145
059_blake_128f_r_gen_message_random_lib,fixed,2026-03-18T02:09:55+0000,143
060_blake_128f_r_hash_message_lib,fixed,2026-03-18T02:12:57+0000,182
062_blake_128s_s_prf_addr_lib,fixed,2026-03-18T02:15:24+0000,147
063_blake_128s_s_gen_message_random_lib,fix_failed,2026-03-18T02:20:03+0000,278
064_blake_128s_s_hash_message_lib,fix_failed,2026-03-18T02:23:14+0000,191
065_blake_128s_r_initialize_hash_function_lib,fixed,2026-03-18T02:24:55+0000,100
066_blake_128s_r_prf_addr_lib,fixed,2026-03-18T02:26:32+0000,97
067_blake_128s_r_gen_message_random_lib,fixed,2026-03-18T02:31:36+0000,304
068_blake_128s_r_hash_message_lib,fixed,2026-03-18T02:34:37+0000,181
070_blake_192f_s_prf_addr_lib,fixed,2026-03-18T02:37:13+0000,156
071_blake_192f_s_gen_message_random_lib,fixed,2026-03-18T02:40:13+0000,180
072_blake_192f_s_hash_message_lib,fixed,2026-03-18T02:42:23+0000,130
073_blake_192f_r_initialize_hash_function_lib,fixed,2026-03-18T02:44:36+0000,133
075_blake_192f_r_gen_message_random_lib,fixed,2026-03-18T02:48:21+0000,225
078_blake_192s_s_prf_addr_lib,fixed,2026-03-18T02:51:06+0000,165
079_blake_192s_s_gen_message_random_lib,fixed,2026-03-18T02:54:11+0000,185
080_blake_192s_s_hash_message_lib,fixed,2026-03-18T02:56:46+0000,155
081_blake_192s_r_initialize_hash_function_lib,fixed,2026-03-18T02:59:14+0000,148
082_blake_192s_r_prf_addr_lib,fixed,2026-03-18T03:02:00+0000,165
083_blake_192s_r_gen_message_random_lib,fixed,2026-03-18T03:05:41+0000,221
084_blake_192s_r_hash_message_lib,fixed,2026-03-18T03:09:10+0000,209
085_blake_256f_s_initialize_hash_function_lib,fixed,2026-03-18T03:11:48+0000,158
087_blake_256f_s_gen_message_random_lib,fixed,2026-03-18T03:15:16+0000,208
088_blake_256f_s_hash_message_lib,fixed,2026-03-18T03:16:55+0000,99
089_blake_256f_r_initialize_hash_function_lib,fixed,2026-03-18T03:19:30+0000,154
090_blake_256f_r_prf_addr_lib,fix_failed,2026-03-18T03:22:41+0000,191
091_blake_256f_r_gen_message_random_lib,fixed,2026-03-18T03:25:07+0000,146
094_blake_256s_s_prf_addr_lib,fixed,2026-03-18T03:26:41+0000,94
095_blake_256s_s_gen_message_random_lib,fixed,2026-03-18T03:28:52+0000,131
096_blake_256s_s_hash_message_lib,fixed,2026-03-18T03:32:00+0000,188
098_blake_256s_r_prf_addr_lib,fixed,2026-03-18T03:35:41+0000,221
099_blake_256s_r_gen_message_random_lib,fixed,2026-03-18T03:38:54+0000,193
101_sha2_128f_s_initialize_hash_function_lib,fixed,2026-03-18T03:42:09+0000,195
102_sha2_128f_s_prf_addr_lib,fix_failed,2026-03-18T03:46:04+0000,235
103_sha2_128f_s_gen_message_random_lib,fixed,2026-03-18T03:48:25+0000,141
104_sha2_128f_s_hash_message_lib,fix_failed,2026-03-18T03:51:49+0000,204
106_sha2_128f_r_prf_addr_lib,fixed,2026-03-18T03:53:38+0000,109
107_sha2_128f_r_gen_message_random_lib,fixed,2026-03-18T03:54:58+0000,80
108_sha2_128f_r_hash_message_lib,fixed,2026-03-18T03:57:25+0000,147
109_sha2_128s_s_initialize_hash_function_lib,fixed,2026-03-18T03:59:21+0000,116
111_sha2_128s_s_gen_message_random_lib,fixed,2026-03-18T04:01:34+0000,133
112_sha2_128s_s_hash_message_lib,analyzed,2026-03-18T04:02:57+0000,82
113_sha2_128s_r_initialize_hash_function_lib,fixed,2026-03-18T04:06:07+0000,190
114_sha2_128s_r_prf_addr_lib,fixed,2026-03-18T04:09:17+0000,190
115_sha2_128s_r_gen_message_random_lib,fixed,2026-03-18T04:12:26+0000,189
116_sha2_128s_r_hash_message_lib,analyzed,2026-03-18T04:13:16+0000,50
118_sha2_192f_s_prf_addr_lib,fix_failed,2026-03-18T04:16:11+0000,175
119_sha2_192f_s_gen_message_random_lib,analyzed,2026-03-18T04:18:33+0000,142
120_sha2_192f_s_hash_message_lib,fixed,2026-03-18T04:20:52+0000,139
121_sha2_192f_r_initialize_hash_function_lib,analyzed,2026-03-18T04:23:44+0000,172
122_sha2_192f_r_prf_addr_lib,fixed,2026-03-18T04:27:48+0000,244
123_sha2_192f_r_gen_message_random_lib,fixed,2026-03-18T04:30:42+0000,174
124_sha2_192f_r_hash_message_lib,fixed,2026-03-18T04:33:32+0000,170
126_sha2_192s_s_prf_addr_lib,fixed,2026-03-18T04:36:45+0000,193
127_sha2_192s_s_gen_message_random_lib,analyzed,2026-03-18T04:38:56+0000,131
128_sha2_192s_s_hash_message_lib,fixed,2026-03-18T04:42:22+0000,206
130_sha2_192s_r_prf_addr_lib,analyzed,2026-03-18T04:43:17+0000,55
131_sha2_192s_r_gen_message_random_lib,analyzed,2026-03-18T04:44:16+0000,59
132_sha2_192s_r_hash_message_lib,fixed,2026-03-18T04:46:45+0000,149
